1. Louvre Museum, Paris, France
2. The Met Museum, New York City, USA
3. Tate Modern, London, UK
4. The Vatican Museums, Vatican City
5. Guggenheim Museum, Bilbao, Spain
6. Uffizi Gallery, Florence, Italy
7. Hermitage Museum, St. Petersburg, Russia
8. Museum of Modern Art (MoMA), New York City, USA
9. National Gallery of Art, Washington D.C., USA
10. Rijksmuseum, Amsterdam, Netherlands
11. Museum of Fine Arts, Boston, USA
12. Centre Pompidou, Paris, France
13. Prado Museum, Madrid, Spain
14. British Museum, London, UK
15. Museum of Contemporary Art, Tokyo, Japan
