1. Mayo Clinic (Rochester, MN)
2. John Hopkins Hospital (Baltimore, MD)
3. Harvard Medical School (Boston, MA)
4. Texas Medical Center (Houston, TX)
5. Cleveland Clinic (Cleveland, OH)
6. National Institutes of Health (Bethesda, MD)
7. University of California, San Francisco Medical Center (San Francisco, CA)
8. Mount Sinai Hospital (New York, NY)
9. Massachusetts General Hospital (Boston, MA)
10. Stanford University Medical Center (Stanford, CA)
11. Sloan Kettering Cancer Center (New York, NY)
12. Cedars-Sinai Medical Center (Los Angeles, CA)
13. Vanderbilt University Medical Center (Nashville, TN)
14. University of Chicago Medical Center (Chicago, IL)
15. University of Washington Medical Center (Seattle, WA)
